"start_node","end_node","weight","start_node_degree","end_node_degree"
"chr10:67052887","chr10:67053895",3,4,4
"chr10:67085586","chr10:67088150",13,1,1
"chr10:67937924","chr10:67954080",225,3,1
"chr10:67937924","chr10:67962528",1,3,3
"chr10:67964824","chr10:67970818",1,2,1
"chr10:67964824","chr10:67970823",79,2,1
"chr10:67970937","chr10:67971236",3,3,1
"chr10:67970937","chr10:67972315",24,3,1
"chr10:67970937","chr10:68021855",162,3,1
"chr10:68022087","chr10:68078833",50,3,1
"chr10:68022087","chr10:68113759",2,3,4
"chr10:68079060","chr10:68113759",6,2,4
"chr10:69220167","chr10:69242087",1,1,1
"chr10:69370115","chr10:69376180",1,6,1
"chr10:69370115","chr10:69381166",1,6,1
"chr10:69370115","chr10:69383109",2,6,1
"chr10:69370115","chr10:69430879",4,6,1
"chr10:69370115","chr10:69644245",38,6,3
"chr10:69658224","chr10:69660147",5,2,2
"chr10:69686035","chr10:69693009",1,2,1
"chr10:69686035","chr10:69703214",4,2,1
"chr10:69786889","chr10:69789269",1,1,1
"chr10:69816225","chr10:69816653",3,2,1
"chr10:69816225","chr10:69817945",6,2,1
"chr10:69818028","chr10:69821912",1,3,1
"chr10:69818028","chr10:69830201",1,3,5
"chr10:69835329","chr10:69837752",1,2,1
"chr10:69835329","chr10:69838340",6,2,1
"chr10:69840822","chr10:69851397",53,3,3
"chr10:69840822","chr10:69851400",12,3,1
"chr10:69848656","chr10:69851198",1,2,1
"chr10:69848656","chr10:69895790",2,2,1
"chr10:69860108","chr10:69860234",2,1,1
"chr10:70195307","chr10:70211061",1,1,1
"chr10:70287059","chr10:70312983",12,1,1
"chr10:70313103","chr10:70334715",21,2,1
"chr10:70313103","chr10:70334720",1,2,1
"chr10:70334780","chr10:70356607",7,3,1
"chr10:70334780","chr10:70370513",1,3,3
"chr10:70387621","chr10:70388858",19,2,1
"chr10:70387621","chr10:70388861",13,2,1
"chr10:70440503","chr10:70467065",1,3,3
"chr10:70440503","chr10:70515825",4,3,1
"chr10:70574738","chr10:70575700",3,1,1
"chr10:70761209","chr10:70763544",2,3,1
"chr10:70761209","chr10:70766420",3,3,3
"chr10:71072862","chr10:71073669",62,1,1
"chr10:71092539","chr10:71094030",12,3,1
"chr10:71092539","chr10:71095571",1,3,3
"chr10:71095650","chr10:71097913",36,3,1
"chr10:71095650","chr10:71098028",1,3,3
"chr10:72492706","chr10:72492877",14,2,1
"chr10:72492706","chr10:72492889",1,2,1
"chr10:72493221","chr10:72504643",13,4,1
"chr10:72493221","chr10:72509258",1,4,1
"chr10:72493221","chr10:72509797",16,4,1
"chr10:72493221","chr10:72510192",1,4,1
"chr10:73950246","chr10:73952565",1,2,1
"chr10:73950246","chr10:73956012",1,2,1
"chr10:74827973","chr10:74850699",8,2,1
"chr10:74827973","chr10:74861109",1,2,1
"chr10:74887876","chr10:74888302",1,2,1
"chr10:74887876","chr10:74890448",3,2,1
"chr10:75064766","chr10:75065604",1,3,1
"chr10:75064766","chr10:75066515",2,3,3
"chr10:75077053","chr10:75080912",2,1,1
"chr10:75355295","chr10:75368010",76,3,1
"chr10:75355295","chr10:75371094",6,3,4
"chr10:75494632","chr10:75520125",1,1,1
"chr10:75620068","chr10:75622628",7,2,1
"chr10:75620068","chr10:75629910",1,2,1
"chr10:75695378","chr10:75695520",33956,3,1
"chr10:75695378","chr10:75695572",19,3,3
"chr10:75695694","chr10:75695813",1,3,1
"chr10:75695694","chr10:75695894",1162,3,3
"chr10:75729519","chr10:75729603",6,2,1
"chr10:75729519","chr10:75730872",1,2,1
"chr10:75751028","chr10:75752606",3,1,1
"chr10:75772280","chr10:75773140",6021,4,1
"chr10:75772280","chr10:75773173",3,4,1
"chr10:75772280","chr10:75773408",6,4,4
"chr10:75773289","chr10:75773381",1,3,1
"chr10:75773289","chr10:75773408",40795,3,4
"chr10:76093007","chr10:76095761",1480,1,1
"chr10:76237370","chr10:76239457",14,1,1
"chr10:76424000","chr10:76425059",1,3,1
"chr10:76424000","chr10:76451549",1,3,2
"chr10:76603751","chr10:76606093",4,3,1
"chr10:76603751","chr10:76606794",1,3,2
"chr10:76617708","chr10:76620904",3,1,1
"chr10:76636749","chr10:76661693",213,2,2
"chr10:76661827","chr10:76683569",2,3,1
"chr10:76661827","chr10:76728390",51,3,3
"chr10:76686183","chr10:76709912",1,2,3
"chr10:77126417","chr10:77127361",5,2,1
"chr10:77126417","chr10:77130536",9,2,1
"chr10:77161775","chr10:77175853",3,4,1
"chr10:77161775","chr10:77190358",1,4,1
"chr10:77161775","chr10:77195400",130,4,4
"chr10:77190544","chr10:77192735",2,3,1
"chr10:77190544","chr10:77195400",1,3,4
"chr10:77195570","chr10:77253928",44,2,3
"chr10:77324308","chr10:77325831",154,3,1
"chr10:77324308","chr10:77333196",1,3,3
"chr10:78067370","chr10:78080269",36,1,1
"chr10:78165171","chr10:78187460",1,2,1
"chr10:78165171","chr10:78188046",1,2,1
"chr10:78585160","chr10:78586374",1,3,1
"chr10:78585160","chr10:78600983",1,3,2
"chr10:78637831","chr10:78648635",1,1,1
"chr10:78924214","chr10:78928245",15,1,1
"chr10:79386241","chr10:79390907",1,1,1
"chr10:79391198","chr10:79399658",1,3,1
"chr10:79391198","chr10:79409416",1,3,3
"chr10:79518425","chr10:79520651",3,1,1
"chr10:79520937","chr10:79521066",11,5,1
"chr10:79520937","chr10:79523682",19,5,4
"chr10:79520937","chr10:79523686",2,5,4
"chr10:79521202","chr10:79523682",375,5,4
"chr10:79521202","chr10:79523686",43,5,4
"chr10:79521202","chr10:79523689",9,5,1
"chr10:79581607","chr10:79581787",1,2,1
"chr10:79581607","chr10:79582298",1,2,1
"chr10:79596741","chr10:79596822",11,1,1
"chr10:79651076","chr10:79654874",3,1,1
"chr10:79689863","chr10:79690159",2,2,1
"chr10:79689863","chr10:79690345",1,2,1
"chr10:79757082","chr10:79757385",1,3,1
"chr10:79757082","chr10:79758046",1,3,4
"chr10:79801186","chr10:79801813",3,1,1
"chr10:79890443","chr10:79890533",34,1,1
"chr10:79890954","chr10:79891756",577,2,2
"chr10:79891782","chr10:79891873",873,2,2
"chr10:79891934","chr10:79892005",1,3,1
"chr10:79891934","chr10:79892019",20571,3,1
"chr10:79891934","chr10:79892056",1,3,1
"chr10:79963935","chr10:79964224",5,3,1
"chr10:79963935","chr10:79965738",10,3,2
"chr10:79965882","chr10:79966089",8,2,4
"chr10:79965946","chr10:79966089",949,5,4
"chr10:79965946","chr10:79966100",1,5,1
"chr10:79965946","chr10:79966113",5,5,1
"chr10:79965946","chr10:79966140",1,5,1
"chr10:79972329","chr10:79972523",4,1,1
"chr10:79972773","chr10:79972876",13,1,1
"chr10:79973222","chr10:79974919",7,2,1
"chr10:79973222","chr10:79975945",2,2,1
"chr10:79975760","chr10:79976312",1,1,1
"chr10:79979820","chr10:79981052",109,5,1
"chr10:79979820","chr10:79981256",22,5,4
"chr10:79979820","chr10:79981260",3,5,4
"chr10:79981142","chr10:79981256",1608,4,4
"chr10:79981142","chr10:79981260",4,4,4
"chr10:79987558","chr10:79989424",1,2,1
"chr10:79987558","chr10:79989649",2,2,1
"chr10:79989968","chr10:79990164",1,1,1
"chr10:80006341","chr10:80006527",5,3,1
"chr10:80006341","chr10:80008247",1,3,5
"chr10:80006599","chr10:80006815",8,3,1
"chr10:80006599","chr10:80008247",16,3,5
"chr10:80006904","chr10:80007144",1,1,1
"chr10:80085326","chr10:80088230",43,3,1
"chr10:80085326","chr10:80091757",2,3,6
"chr10:80089618","chr10:80090673",31,1,1
"chr10:80090854","chr10:80090923",694,5,2
"chr10:80090854","chr10:80090935",2,5,1
"chr10:80090854","chr10:80091757",1,5,6
"chr10:80091847","chr10:80092432",2,4,1
"chr10:80091847","chr10:80092469",7582,4,1
"chr10:80091847","chr10:80092513",35,4,1
"chr10:80091847","chr10:80092576",2,4,1
"chr10:80121261","chr10:80123369",4,2,1
"chr10:80121261","chr10:80123372",53,2,1
"chr10:80128318","chr10:80128542",1,5,1
"chr10:80128318","chr10:80128608",104,5,3
"chr10:80128318","chr10:80129475",2,5,4
"chr10:80129711","chr10:80129800",42089,5,4
"chr10:80129711","chr10:80129804",148,5,1
"chr10:80129711","chr10:80129806",1,5,3
"chr10:80140639","chr10:80140737",1,1,1
"chr10:80231430","chr10:80234955",2,3,1
"chr10:80231430","chr10:80235051",1,3,4
"chr10:80238990","chr10:80239211",3,3,1
"chr10:80238990","chr10:80239969",14391,3,3
"chr10:80240121","chr10:80240345",2,7,1
"chr10:80240121","chr10:80242246",1,7,1
"chr10:80240121","chr10:80242333",352,7,1
"chr10:80240121","chr10:80242390",6,7,1
"chr10:80240121","chr10:80242529",3585,7,3
"chr10:80240121","chr10:80242568",1,7,1
"chr10:80246109","chr10:80246231",1,2,1
"chr10:80246109","chr10:80248660",1,2,1
"chr10:80403021","chr10:80404910",1,2,1
"chr10:80403021","chr10:80412608",1,2,1
"chr10:80419696","chr10:80419807",2,3,1
"chr10:80419696","chr10:80419836",13,3,3
"chr10:80445293","chr10:80445474",2,4,2
"chr10:80445293","chr10:80446861",1,4,3
"chr10:80539591","chr10:80539686",2,1,1
"chr10:80539763","chr10:80539872",3,1,1
"chr10:80540029","chr10:80540251",2,2,2
"chr10:80540270","chr10:80540454",1,5,1
"chr10:80540270","chr10:80540532",1,5,2
"chr10:80540270","chr10:80540897",1,5,4
"chr10:80632657","chr10:80633606",7,1,1
"chr10:80662740","chr10:80664070",58,4,1
"chr10:80662740","chr10:80664076",2,4,1
"chr10:80662740","chr10:80664294",1,4,3
"chr10:80664468","chr10:80664544",578,1,1
"chr10:80664631","chr10:80664704",4760,4,3
"chr10:80664631","chr10:80664726",77,4,1
"chr10:80664631","chr10:80664775",1,4,1
"chr10:80688935","chr10:80689026",3,5,1
"chr10:80688935","chr10:80689591",4017,5,4
"chr10:80688935","chr10:80690451",10,5,4
"chr10:80690543","chr10:80690773",2,3,1
"chr10:80690543","chr10:80691014",85,3,4
"chr10:80736385","chr10:80736457",189,3,3
"chr10:80736385","chr10:80736502",1,3,1
"chr10:80788781","chr10:80791449",1,3,1
"chr10:80788781","chr10:80833825",31,3,2
"chr10:80833879","chr10:80837066",8,2,1
"chr10:80833879","chr10:80850689",20,2,1
"chr10:80888086","chr10:80895751",1,2,1
"chr10:80888086","chr10:80895961",4,2,1
"chr10:80906113","chr10:80908986",2,2,1
"chr10:80906113","chr10:80917864",1,2,1
"chr10:80911494","chr10:80912776",2,1,1
"chr10:80954064","chr10:80954942",2,1,1
"chr10:80955410","chr10:80956876",2,2,4
"chr10:80955538","chr10:80956876",5,4,4
"chr10:80955538","chr10:80956879",7,4,2
"chr10:80958447","chr10:80958812",1,4,1
"chr10:80958447","chr10:80959425",2,4,1
"chr10:80958447","chr10:80959453",2267,4,3
"chr10:81016992","chr10:81017061",10,2,1
"chr10:81016992","chr10:81018142",1,2,1
"chr10:81026134","chr10:81026215",5,2,2
"chr10:81042576","chr10:81043347",73,3,1
"chr10:81042576","chr10:81043667",1,3,3
"chr10:81043743","chr10:81045886",14,3,1
"chr10:81043743","chr10:81046357",1,3,3
"chr10:81094374","chr10:81095010",1,1,1
"chr10:81095333","chr10:81095420",14,1,1
"chr10:81095641","chr10:81095922",5,3,1
"chr10:81095641","chr10:81096741",1,3,3
"chr10:81096808","chr10:81097276",4,2,1
"chr10:81096808","chr10:81098564",1,2,1
"chr10:81100832","chr10:81101363",1,4,1
"chr10:81100832","chr10:81101484",3519,4,4
"chr10:81100832","chr10:81101588",1,4,1
"chr10:81150953","chr10:81151712",1,2,1
"chr10:81150953","chr10:81153159",2,2,1
"chr10:81155482","chr10:81155696",1,3,1
"chr10:81155482","chr10:81155757",1,3,3
"chr10:81185323","chr10:81185845",1,3,1
"chr10:81185323","chr10:81185967",45,3,3
"chr10:81186024","chr10:81186106",5,2,1
"chr10:81186024","chr10:81186240",38,2,1
"chr10:81193721","chr10:81195915",2,2,1
"chr10:81193721","chr10:81195955",1,2,1
"chr10:81236906","chr10:81239185",95,3,1
"chr10:81236906","chr10:81240657",64,3,3
"chr10:81240843","chr10:81241922",7,1,1
"chr10:81295186","chr10:81295336",1,2,1
"chr10:81295186","chr10:81296090",1,2,1
"chr10:81306592","chr10:81307139",5,3,2
"chr10:81306592","chr10:81307142",1,3,1
"chr10:81307192","chr10:81312702",3,1,1
"chr10:81312786","chr10:81318294",7,1,1
"chr10:81397151","chr10:81399928",20,2,1
"chr10:81397151","chr10:81401734",1,2,1
"chr10:81401201","chr10:81401305",104,2,1
"chr10:81401201","chr10:81401308",6,2,1
"chr10:81423856","chr10:81424642",4,3,1
"chr10:81423856","chr10:81425253",2,3,4
"chr10:81424794","chr10:81425253",23,6,4
"chr10:81424794","chr10:81426058",1,6,4
"chr10:81424794","chr10:81426186",2,6,4
"chr10:81425331","chr10:81426058",156,4,4
"chr10:81425331","chr10:81426186",6,4,4
"chr10:81479728","chr10:81480809",3,1,1
"chr10:81974214","chr10:81986050",93,2,2
"chr10:82031233","chr10:82034971",4,1,1
"chr10:82032573","chr10:82063364",10,2,5
"chr10:82062428","chr10:82063278",13,4,2
"chr10:82062428","chr10:82063364",11,4,5
"chr10:82063760","chr10:82072440",11,3,1
"chr10:82063760","chr10:82077004",199,3,4
"chr10:82190216","chr10:82204404",4,4,3
"chr10:82190216","chr10:82219596",2,4,7
"chr10:82204532","chr10:82204731",59,5,1
"chr10:82204532","chr10:82219596",1,5,7
"chr10:82204532","chr10:82236587",1,5,4
"chr10:82204793","chr10:82205566",2,3,1
"chr10:82204793","chr10:82219596",59,3,7
"chr10:82219679","chr10:82236587",16,3,4
"chr10:82219679","chr10:82236591",1,3,1
"chr10:82236821","chr10:82245267",1,4,3
"chr10:82236821","chr10:82257833",10,4,3
"chr10:82449341","chr10:82449943",1,2,1
"chr10:82449341","chr10:82450022",1,2,1
"chr10:82456052","chr10:82456187",7,3,1
"chr10:82456052","chr10:82458541",250,3,4
"chr10:82458659","chr10:82458798",24,3,1
"chr10:82458659","chr10:82458927",1,3,1
"chr10:82458659","chr10:82458986",3,3,1
"chr10:82483913","chr10:82484411",5,1,1
"chr10:82538438","chr10:82545797",1,2,4
"chr10:82545052","chr10:82545797",6,4,4
"chr10:82545052","chr10:82547668",1,4,3
"chr10:82597748","chr10:82599837",4,1,1
"chr10:83386174","chr10:83386744",1,2,1
"chr10:83386174","chr10:83386750",1,2,1
"chr10:83594078","chr10:83595456",5,2,1
"chr10:83594078","chr10:83595461",2,2,1
"chr10:85434742","chr10:85438381",1,2,1
"chr10:85434742","chr10:85438540",6,2,1
"chr10:86320666","chr10:86334629",1,2,1
"chr10:86320666","chr10:86334653",2,2,1
"chr10:87749663","chr10:87751159",1,3,1
"chr10:87749663","chr10:87766536",27,3,3
"chr10:87996833","chr10:88007856",1,3,1
"chr10:87996833","chr10:88013995",1,3,7
"chr10:88010430","chr10:88013995",1,2,7
"chr10:88010796","chr10:88012934",1,3,1
"chr10:88010796","chr10:88013995",1,3,7
"chr10:88051937","chr10:88055111",2,1,1
"chr10:88055223","chr10:88070255",43,3,1
"chr10:88055223","chr10:88081617",1,3,5
"chr10:88070321","chr10:88081617",362,3,5
"chr10:88070321","chr10:88096297",1,3,1
"chr10:88203954","chr10:88207958",3,3,1
"chr10:88203954","chr10:88214876",2,3,3
"chr10:88248509","chr10:88250254",2,2,1
"chr10:88248509","chr10:88250532",1,2,1
"chr10:88255423","chr10:88264354",1,1,1
"chr10:88276254","chr10:88276483",1,2,1
"chr10:88276254","chr10:88279170",1,2,1
"chr10:88308847","chr10:88311194",14,2,1
"chr10:88308847","chr10:88311287",14,2,1
"chr10:88354432","chr10:88355762",2,3,1
"chr10:88354432","chr10:88358828",1,3,3
"chr10:88952865","chr10:88960981",13,3,1
"chr10:88952865","chr10:88985111",16,3,3
"chr10:88985307","chr10:89092830",1,3,1
"chr10:88985307","chr10:89093293",3,3,3
"chr10:89518484","chr10:89532483",27,1,1
"chr10:89525185","chr10:89534024",2,1,1
"chr10:89562623","chr10:89564002",48,2,1
"chr10:89562623","chr10:89564015",125,2,1
"chr10:89564085","chr10:89564761",16,3,1
"chr10:89564085","chr10:89568035",2,3,4
"chr10:89564880","chr10:89567899",1,3,1
"chr10:89564880","chr10:89568035",2,3,4
"chr10:89581151","chr10:89608448",2,2,2
"chr10:90413058","chr10:90422913",19,5,1
"chr10:90413058","chr10:90422916",7,5,1
"chr10:90413058","chr10:90435938",1,5,1
"chr10:90413058","chr10:90471503",3,5,1
"chr10:90413058","chr10:90480319",11,5,1
"chr10:90421504","chr10:90421657",1,1,1
"chr10:90421549","chr10:90421612",2,3,1
"chr10:90421549","chr10:90421628",1,3,1
"chr10:90421549","chr10:90421632",3,3,1
"chr10:90516782","chr10:90525105",1,3,1
"chr10:90516782","chr10:90730960",17,3,6
"chr10:90731069","chr10:90733108",16,6,1
"chr10:90731069","chr10:90733210",2,6,1
"chr10:90731069","chr10:90750557",2,6,4
"chr10:90731069","chr10:90757157",8,6,6
"chr10:90733289","chr10:90742079",3,7,1
"chr10:90733289","chr10:90750554",2,7,2
"chr10:90733289","chr10:90750557",8,7,4
"chr10:90733289","chr10:90757157",1,7,6
"chr10:90750630","chr10:90757157",19,3,6
"chr10:90750630","chr10:90757161",1,3,1
"chr10:90802255","chr10:90802867",26,3,1
"chr10:90802255","chr10:90805665",2,3,1
"chr10:90802255","chr10:90805668",2,3,1
"chr10:90929119","chr10:90937616",1,1,1
"chr10:90955569","chr10:90957783",9,4,2
"chr10:90955569","chr10:90959419",1,4,3
"chr10:90959569","chr10:90959777",25,1,1
"chr10:91907161","chr10:91907519",3,4,1
"chr10:91907161","chr10:91911031",83,4,1
"chr10:91907161","chr10:91911374",5,4,3
"chr10:91919945","chr10:91939567",1,3,1
"chr10:91919945","chr10:91945500",1,3,2
"chr10:91972553","chr10:91997966",5,1,1
"chr10:92000635","chr10:92000959",33,2,1
"chr10:92000635","chr10:92001038",3,2,1
"chr10:92997063","chr10:93044033",39,2,3
"chr10:93074906","chr10:93075449",2,2,1
"chr10:93074906","chr10:93077547",1,2,1
"chr10:93316649","chr10:93318111",3,3,1
"chr10:93316649","chr10:93318823",9,3,3
"chr10:93419393","chr10:93419891",3743,3,1
"chr10:93419393","chr10:93423859",1,3,4
"chr10:93419957","chr10:93423859",2,5,4
"chr10:93419957","chr10:93424027",30,5,1
"chr10:93419957","chr10:93425400",1,5,5
"chr10:93423986","chr10:93424959",1,4,1
"chr10:93423986","chr10:93425160",2,4,1
"chr10:93423986","chr10:93425400",732,4,5
"chr10:93698355","chr10:93698791",16,2,3
"chr10:93707512","chr10:93715401",8,1,1
"chr10:93720730","chr10:93794972",1,1,1
"chr10:93722964","chr10:93724965",4,3,1
"chr10:93722964","chr10:93725399",425,3,3
"chr10:93820356","chr10:93821204",2,1,1
"chr10:94035895","chr10:94039149",481,3,1
"chr10:94035895","chr10:94056542",5,3,3
"chr10:94039238","chr10:94051200",4,2,1
"chr10:94039238","chr10:94056527",22,2,1
"chr10:94348753","chr10:94350193",4,2,1
"chr10:94348753","chr10:94350203",1,2,1
"chr10:94514310","chr10:94524094",6,4,2
"chr10:94514310","chr10:94524136",1,4,4
"chr10:94519100","chr10:94521596",2,3,1
"chr10:94519100","chr10:94524136",1,3,4
"chr10:94524909","chr10:94554713",10,2,3
"chr10:94561602","chr10:94561740",1,2,1
"chr10:94561602","chr10:94564452",24,2,1
"chr10:94576051","chr10:94584802",5,3,1
"chr10:94576051","chr10:94586120",1,3,3
"chr10:94624699","chr10:94625565",13,1,1
"chr10:95158752","chr10:95159330",1,2,1
"chr10:95158752","chr10:95159862",1,2,1
"chr10:95251054","chr10:95251483",1,2,1
"chr10:95251054","chr10:95252479",1,2,1
"chr10:95316840","chr10:95322055",2,9,1
"chr10:95316840","chr10:95326103",1,9,1
"chr10:95316840","chr10:95326107",5328,9,2
"chr10:95316840","chr10:95326122",3,9,1
"chr10:95316840","chr10:95329492",567,9,4
"chr10:95316840","chr10:95332685",2,9,4
"chr10:95326275","chr10:95329492",370,2,4
"chr10:95332879","chr10:95351252",1,2,1
"chr10:95332879","chr10:95458743",2,2,1
"chr10:95332882","chr10:95335222",1,2,1
"chr10:95332882","chr10:95376546",1,2,1
"chr10:95336385","chr10:95337767",30,1,1
"chr10:95378754","chr10:95446854",37,3,1
"chr10:95378754","chr10:95574584",2,3,2
"chr10:95809941","chr10:95814022",4,5,1
"chr10:95809941","chr10:95824749",1,5,1
"chr10:95809941","chr10:95825423",1472,5,3
"chr10:95809941","chr10:95825441",1,5,1
"chr10:95826328","chr10:95829285",13,1,1
"chr10:95863016","chr10:95864254",14,1,1
"chr10:95867556","chr10:95872441",92,1,1
"chr10:97758905","chr10:97785226",1,4,4
"chr10:97758905","chr10:97802850",11,4,4
"chr10:97772901","chr10:97785226",1,4,4
"chr10:97772901","chr10:97802850",2,4,4
"chr10:98804987","chr10:98815565",233,4,3
"chr10:98804987","chr10:98829728",2,4,5
"chr10:98823008","chr10:98823079",1,2,1
"chr10:98823008","chr10:98823102",8240,2,1
"chr10:98823229","chr10:98826923",5520,3,1
"chr10:98823229","chr10:98829728",1,3,5
"chr10:98829768","chr10:98830507",52,1,1
"chr10:98854760","chr10:98855139",10,1,1
"chr10:99900009","chr10:99900611",1,2,1
"chr10:99900009","chr10:99912596",24,2,1
"chr10:99915993","chr10:99916718",21,1,1
"chr10:99925134","chr10:99925962",1,2,1
"chr10:99925134","chr10:99931879",9,2,1
"chr10:100409623","chr10:100410868",2,3,1
"chr10:100409623","chr10:100411578",7,3,3
"chr10:100414294","chr10:100418124",1,3,1
"chr10:100414294","chr10:100419775",8,3,2
"chr10:100422171","chr10:100424888",25,1,1
"chr10:101517812","chr10:101518822",7,4,1
"chr10:101517812","chr10:101542451",1,4,1
"chr10:101517812","chr10:101661235",1,4,1
"chr10:101517812","chr10:101699852",6,4,1
"chr10:101699892","chr10:101725163",1,3,1
"chr10:101699892","chr10:101847593",10,3,4
"chr10:101702618","chr10:101705985",1,2,1
"chr10:101702618","chr10:101715032",1,2,1
"chr10:101725291","chr10:101728619",1,3,1
"chr10:101725291","chr10:101847593",2,3,4
"chr10:101815653","chr10:101816291",2,2,1
"chr10:101815653","chr10:101824306",1,2,1
"chr10:101847706","chr10:101873139",1,8,1
"chr10:101847706","chr10:101918030",4,8,1
"chr10:101847706","chr10:101927351",1,8,1
"chr10:101847706","chr10:101983744",1,8,1
"chr10:101847706","chr10:102109224",34,8,8
"chr10:101847706","chr10:102186795",9,8,2
"chr10:101927417","chr10:102109224",1,2,8
"chr10:102186846","chr10:102206193",2,3,1
"chr10:102186846","chr10:102214012",12,3,5
"chr10:102206255","chr10:102214012",22,2,5
"chr10:102214166","chr10:102220866",464,3,3
"chr10:102214166","chr10:102220870",1,3,1
"chr10:103057321","chr10:103059553",23,3,1
"chr10:103057321","chr10:103060740",4,3,3
"chr10:103063164","chr10:103069873",5,3,1
"chr10:103063164","chr10:103072136",3,3,3
"chr10:103204015","chr10:103224757",5,2,1
"chr10:103204015","chr10:103224887",1,2,1
"chr10:105599323","chr10:105599784",1,2,1
"chr10:105599323","chr10:105601080",89,2,1
"chr10:105601900","chr10:105615448",3,1,1
"chr10:105668877","chr10:105671987",8,1,1
"chr10:105672082","chr10:105676936",2,1,1
"chr10:106310744","chr10:106330638",2,2,1
"chr10:106310744","chr10:106393106",97,2,1
"chr10:106426924","chr10:106430247",1,1,1
"chr10:106598009","chr10:106603334",15,3,1
"chr10:106598009","chr10:106636597",1,3,4
"chr10:106603410","chr10:106612275",1,3,1
"chr10:106603410","chr10:106636597",68,3,4
"chr10:106655419","chr10:106664737",29,2,1
"chr10:106655419","chr10:106664749",152,2,1
"chr10:106666562","chr10:106671037",2,3,1
"chr10:106666562","chr10:106671556",34,3,2
"chr10:106699246","chr10:106701107",5,1,1
"chr10:106705834","chr10:106709438",1,2,1
"chr10:106705834","chr10:106718596",2,2,1
"chr10:106739567","chr10:106740677",15,1,1
"chr10:106740708","chr10:106742226",36,2,1
"chr10:106740708","chr10:106742244",13,2,1
"chr10:107107804","chr10:107146424",1,2,1
"chr10:107107804","chr10:107159771",3,2,1
"chr10:107216013","chr10:107218364",8,4,2
"chr10:107216013","chr10:107247813",2,4,3
"chr10:108034825","chr10:108050248",19,1,1
"chr10:108087806","chr10:108088617",128,5,1
"chr10:108087806","chr10:108089185",1,5,4
"chr10:108087806","chr10:108095616",1,5,5
"chr10:108088786","chr10:108089185",53,4,4
"chr10:108088786","chr10:108095616",629,4,5
"chr10:108419853","chr10:108463113",251,4,3
"chr10:108419853","chr10:108666966",2,4,9
"chr10:108472535","chr10:108478074",175,2,3
"chr10:108478260","chr10:108519860",1,5,1
"chr10:108478260","chr10:108526744",1491,5,3
"chr10:108478260","chr10:108666966",2,5,9
"chr10:108526925","chr10:108537064",1,7,1
"chr10:108526925","chr10:108616386",2,7,1
"chr10:108526925","chr10:108651515",1,7,1
"chr10:108526925","chr10:108666966",3214,7,9
"chr10:108526925","chr10:108738075",45,7,6
"chr10:108667033","chr10:108671203",3,6,1
"chr10:108667033","chr10:108737910",2,6,1
"chr10:108667033","chr10:108738075",640,6,6
"chr10:108667033","chr10:108846436",3,6,9
"chr10:108726484","chr10:108726561",1,2,1
"chr10:108726484","chr10:108737302",1,2,1
"chr10:108738177","chr10:108757755",1,8,1
"chr10:108738177","chr10:108829693",2,8,1
"chr10:108738177","chr10:108829698",46,8,3
"chr10:108738177","chr10:108844752",21,8,4
"chr10:108738177","chr10:108846436",3889,8,9
"chr10:108829779","chr10:108840643",2,6,1
"chr10:108829779","chr10:108842533",1,6,1
"chr10:108829779","chr10:108844752",8,6,4
"chr10:108829779","chr10:108846436",202,6,9
"chr10:108846888","chr10:108847758",1,1,1
"chr10:108848157","chr10:108871373",2,1,1
"chr10:109594911","chr10:109600378",2,2,3
"chr10:109699753","chr10:109702791",9,3,1
"chr10:109699753","chr10:109716395",12,3,3
"chr10:110052972","chr10:110108639",1,4,2
"chr10:110052972","chr10:110152825",2,4,2
"chr10:110910289","chr10:110914868",1,2,1
"chr10:110910289","chr10:110919223",1,2,1
"chr10:111040702","chr10:111060532",31,3,1
"chr10:111040702","chr10:111069413",11,3,4
"chr10:111060570","chr10:111069413",65,6,4
"chr10:111060570","chr10:111069422",3,6,2
"chr10:111060570","chr10:111091548",1,6,5
"chr10:111069552","chr10:111082017",1,3,1
"chr10:111069552","chr10:111091548",188,3,5
"chr10:111317178","chr10:111321359",30,3,1
"chr10:111317178","chr10:111325888",134,3,2
"chr10:111326319","chr10:111326869",84,2,1
"chr10:111326319","chr10:111326872",1,2,1
"chr10:111330686","chr10:111330911",39,2,1
"chr10:111330686","chr10:111331185",51,2,1
"chr10:111331237","chr10:111331900",319,3,1
"chr10:111331237","chr10:111331903",4,3,1
"chr10:111331237","chr10:111331909",1,3,1
"chr10:111331967","chr10:111332614",165,3,3
"chr10:111331967","chr10:111333829",7,3,1
"chr10:112292441","chr10:112292833",1,1,1
"chr10:115057591","chr10:115065029",42,2,1
"chr10:115057591","chr10:115065033",1,2,1
"chr10:115138697","chr10:115151098",2,3,1
"chr10:115138697","chr10:115163940",1,3,3
"chr10:115195673","chr10:115197713",75,4,1
"chr10:115195673","chr10:115197811",1,4,1
"chr10:115195673","chr10:115220109",1,4,6
"chr10:115197865","chr10:115197956",2,1,1
"chr10:115208852","chr10:115209040",1,4,1
"chr10:115208852","chr10:115212256",282,4,1
"chr10:115208852","chr10:115220109",99,4,6
"chr10:115212453","chr10:115220109",33,2,6
"chr10:115854718","chr10:115857794",1,2,1
"chr10:115854718","chr10:115884002",7,2,1
"chr10:115884299","chr10:115892909",4,3,1
"chr10:115884299","chr10:115898319",1,3,1
