"junction","presence_in_cells","total_UMI"
"chr6:85938994-85942613_S",6,6
"chr6:86083287-86084336_S",6,6
"chr6:92399450-92402560_S",6,6
"chr6:92435640-92511596_S",6,6
"chr6:96092736-96170161_S",6,6
"chr6:100841715-100842034_S",6,6
"chr6:112597866-112605422_S",6,6
"chr6:113461539-113465031_S",6,6
"chr6:120470056-120477817_S",6,6
"chr6:124912409-124912564_S",6,6
"chr6:126685671-126689548_S",6,6
"chr6:127701022-127703487_S",6,6
"chr6:128173797-128176569_S",6,6
"chr6:136150102-136150865_S",6,6
"chr6:136167820-136170630_S",6,6
"chr6:138400364-138402669_S",6,6
"chr6:142447184-142451137_S",6,6
"chr7:3438410-3439171_S",6,6
"chr7:6146150-6158204_S",6,6
"chr7:15679280-15679754_S",6,6
"chr7:18815227-18816200_S",6,6
"chr7:19249223-19249886_S",6,6
"chr7:27241414-27241513_S",6,6
"chr7:28330200-28380626_S",6,6
"chr7:29010818-29011031_S",6,6
"chr7:30008260-30008905_S",6,6
"chr7:30230134-30230948_S",6,6
"chr7:30427715-30427923_S",6,6
"chr7:35539051-35545640_S",6,6
"chr7:42138986-42139432_S",6,6
"chr7:44004069-44005541_S",6,6
"chr7:44140395-44140586_S",6,6
"chr7:44663018-44663628_S",6,6
"chr7:44711956-44722913_S",6,6
"chr7:45030243-45033227_S",6,6
"chr7:45111391-45114612_S",6,6
"chr7:45237953-45238729_S",6,6
"chr7:46453434-46453585_S",6,6
"chr7:51512193-51514029_S",6,6
"chr7:55668866-55700603_S",6,6
"chr7:61185237-61264839_S",6,6
"chr7:61631517-61631743_S",6,6
"chr7:61744427-61750129_S",6,6
"chr7:73205669-73207786_S",6,6
"chr7:73233276-73239370_S",6,6
"chr7:79164364-79164453_S",6,6
"chr7:87235927-87238297_S",6,6
"chr7:89846229-89856790_S",6,6
"chr7:90154146-90171778_S",6,6
"chr7:97159004-97162733_S",6,6
"chr7:101133838-101143777_S",6,6
"chr7:108920781-108924887_S",6,6
"chr7:109617716-109626277_S",6,6
"chr7:111933162-111934144_S",6,6
"chr7:112951146-112964111_S",6,6
"chr7:118452564-118454610_S",6,6
"chr7:120992438-121099640_S",6,6
"chr7:126272071-126277174_S",6,6
"chr7:126577588-126578086_S",6,6
"chr7:138637949-138641353_S",6,6
"chr7:140908180-140912822_S",6,6
"chr8:4300626-4300848_S",6,6
"chr8:4407690-4409481_S",6,6
"chr8:10028020-10037384_S",6,6
"chr8:14128917-14140176_S",6,6
"chr8:23137488-23138197_S",6,6
"chr8:23183949-23185178_S",6,6
"chr8:24287448-24392030_S",6,6
"chr8:24392188-24419111_S",6,6
"chr8:26139720-26149756_S",6,6
"chr8:47192972-47246527_S",6,6
"chr8:61358755-61359507_S",6,6
"chr8:65194009-65195988_S",6,6
"chr8:69593739-69636625_S",6,6
"chr8:70028852-70037680_S",6,6
"chr8:71052408-71053045_S",6,6
"chr8:71153118-71340292_S",6,6
"chr8:71227997-71229250_S",6,6
"chr8:71308122-71309575_S",6,6
"chr8:71945581-71946320_S",6,6
"chr8:71951909-71952046_S",6,6
"chr8:71998501-71999616_S",6,6
"chr8:78147377-78152958_S",6,6
"chr8:78287604-78289042_S",6,6
"chr8:84900602-84902703_S",6,6
"chr8:106351108-106362751_S",6,6
"chr8:110433052-110436042_S",6,6
"chr8:111469412-111474874_S",6,6
"chr8:117241705-117242418_S",6,6
"chr8:121399632-121399973_S",6,6
"chr8:123340767-123340898_S",6,6
"chr8:123626889-123627340_S",6,6
"chr8:123626889-123635406_S",6,6
"chr8:126464159-126466444_S",6,6
"chr9:9155366-9180027_S",6,6
"chr9:20784561-20784837_S",6,6
"chr9:20918241-20918729_S",6,6
"chr9:21417012-21418718_S",6,6
"chr9:26431023-26460799_S",6,6
"chr9:40238735-40244740_S",6,6
"chr9:40244952-40287208_S",6,6
"chr9:44324499-44324767_S",6,6
"chr9:44824765-44825925_S",6,6
"chr9:47172115-47172609_S",6,6
"chr9:50519234-50520671_S",6,6
"chr9:57306129-57342185_S",6,6
"chr9:59563933-59572482_S",6,6
"chr9:65970365-65972768_S",6,6
"chr9:70479459-70480738_S",6,6
"chr9:72176052-72182817_S",6,6
"chr9:72220043-72226373_S",6,6
"chr9:74978942-75023467_S",6,6
"chr9:75988737-75991584_S",6,6
"chr9:81514333-81524599_S",6,6
"chr9:83283803-83287862_S",6,6
"chr9:83476792-83479277_S",6,6
"chr9:85705179-85724804_S",6,6
"chr9:86920809-86922434_S",6,6
"chr9:89979943-89982495_S",6,6
"chr9:95737614-95739418_S",6,6
"chr9:96609074-96611034_S",6,6
"chr9:103041103-103062202_S",6,6
"chr9:107666905-107668203_S",6,6
"chr9:107833122-107833544_S",6,6
"chr9:112014838-112015054_S",6,6
"chr9:112016835-112063377_S",6,6
"chr9:119717669-119722592_S",6,6
"chr9:122483584-122483943_S",6,6
"chr9:122777174-122779869_S",6,6
"chr10:12633576-12637389_S",6,6
"chr10:25096657-25114531_S",6,6
"chr10:29023750-29026239_S",6,6
"chr10:39244602-39245243_S",6,6
"chr10:39608610-39659138_S",6,6
"chr10:52567266-52809187_S",6,6
"chr10:61572538-61574806_S",6,6
"chr10:62854005-62854538_S",6,6
"chr10:68079060-68113759_S",6,6
"chr10:69816225-69817945_S",6,6
"chr10:69835329-69838340_S",6,6
"chr10:75355295-75371094_S",6,6
"chr10:75729519-75729603_S",6,6
"chr10:75772280-75773408_S",6,6
"chr10:80240121-80242390_S",6,6
"chr10:81401201-81401308_S",6,6
"chr10:81425331-81426186_S",6,6
"chr10:82545052-82545797_S",6,6
"chr10:85434742-85438540_S",6,6
"chr10:94514310-94524094_S",6,6
"chr10:101517812-101699852_S",6,6
"chr10:120059788-120060538_S",6,6
"chr10:127003751-127005612_S",6,6
"chr10:127023192-127024119_S",6,6
"chr10:128159569-128161932_S",6,6
"chr10:128245218-128245604_S",6,6
"chr10:128251171-128264459_S",6,6
"chr10:128299643-128299735_S",6,6
"chr10:128326903-128327154_S",6,6
"chr10:128328006-128328091_S",6,6
"chr11:3079521-3079764_S",6,6
"chr11:3079912-3080152_S",6,6
"chr11:4897946-4959529_S",6,6
"chr11:5056970-5060689_S",6,6
"chr11:5452698-5455231_S",6,6
"chr11:6013086-6015473_S",6,6
"chr11:17890351-17895606_S",6,6
"chr11:17902329-17902582_S",6,6
"chr11:21092658-21092806_S",6,6
"chr11:25553037-25553935_S",6,6
"chr11:29476844-29483225_S",6,6
"chr11:30396381-30582207_S",6,6
"chr11:32592936-32630200_S",6,6
"chr11:43324647-43327180_S",6,6
"chr11:50792119-50796916_S",6,6
"chr11:51879528-51888644_S",6,6
"chr11:51924439-51975197_S",6,6
"chr11:54631377-54647231_S",6,6
"chr11:57133946-57174335_S",6,6
"chr11:59095082-59096474_S",6,6
"chr11:61437738-61444335_S",6,6
"chr11:62183045-62188510_S",6,6
"chr11:65707407-65712755_S",6,6
"chr11:67875500-67902140_S",6,6
"chr11:69215789-69216383_S",6,6
"chr11:69255631-69284522_S",6,6
"chr11:69875361-69875559_S",6,6
"chr11:70127038-70128356_S",6,6
"chr11:70129841-70130251_S",6,6
"chr11:76298269-76300467_S",6,6
"chr11:77090980-77107492_S",6,6
"chr11:77875024-77897552_S",6,6
"chr11:80286400-80286617_S",6,6
"chr11:83193664-83196387_S",6,6
"chr11:85244060-85245713_S",6,6
"chr11:87020644-87031310_S",6,6
"chr11:93195474-93381317_S",6,6
"chr11:96680180-96691599_S",6,6
"chr11:98619814-98620197_S",6,6
"chr11:98631514-98644115_S",6,6
"chr11:99119145-99119322_S",6,6
"chr11:99131448-99134768_S",6,6
"chr11:102291827-102292806_S",6,6
"chr11:102399038-102418919_S",6,6
"chr11:102418993-102429107_S",6,6
"chr11:103079392-103081471_S",6,6
"chr11:103088605-103088960_S",6,6
"chr11:105564318-105604207_S",6,6
"chr11:108956505-108967487_S",6,6
"chr11:113580048-113583220_S",6,6
"chr11:115306670-115306840_S",6,6
"chr11:120602305-120602528_S",6,6
"chr11:121339831-121340087_S",6,6
"chr12:3287661-3288063_S",6,6
"chr12:3879298-3879423_S",6,6
"chr12:4156985-4163533_S",6,6
"chr12:4689795-4699982_S",6,6
"chr12:8748160-8749063_S",6,6
"chr12:17168274-17169485_S",6,6
"chr12:21218278-21249544_S",6,6
"chr12:21369933-21371334_S",6,6
"chr12:24851926-24881089_S",6,6
"chr12:25104034-25105083_S",6,6
"chr12:25104034-25111216_S",6,6
"chr12:29833675-29861371_S",6,6
"chr12:31542176-31544589_S",6,6
"chr12:32088657-32110780_S",6,6
"chr12:38197601-38216741_S",6,6
"chr12:51437212-51438965_S",6,6
"chr12:55883431-55888355_S",6,6
"chr12:65095055-65100059_S",6,6
"chr12:69788591-69790002_S",6,6
"chr12:75500588-75506461_S",6,6
"chr12:76851278-76868967_S",6,6
"chr12:78459208-78501530_S",6,6
"chr12:81406119-81432272_S",6,6
"chr12:81432234-81432946_S",6,6
"chr12:81678576-81707339_S",6,6
"chr12:84981898-84986933_S",6,6
"chr12:91539408-91542357_S",6,6
"chr12:91539408-91553473_S",6,6
"chr12:91542566-91552148_S",6,6
"chr12:102957730-102964696_S",6,6
"chr12:103403965-103405659_S",6,6
"chr12:104705108-104718006_S",6,6
"chr12:106036875-106039877_S",6,6
"chr12:107956087-107969344_S",6,6
"chr12:108521473-108614573_S",6,6
"chr12:111506122-111506563_S",6,6
"chr13:8906965-8911123_S",6,6
"chr13:15956492-15957832_S",6,6
"chr13:15990574-16185013_S",6,6
"chr13:21632065-21632336_S",6,6
"chr13:29137481-29141871_S",6,6
"chr13:34314055-34350043_S",6,6
"chr13:34314055-34361963_S",6,6
"chr13:43110258-43190925_S",6,6
"chr13:43554098-43554328_S",6,6
"chr13:49196343-49197849_S",6,6
"chr13:49807159-49807826_S",6,6
"chr13:54704460-54707010_S",6,6
"chr13:54704460-54712994_S",6,6
"chr13:54741856-54746534_S",6,6
"chr13:55144398-55145728_S",6,6
"chr13:55233508-55240939_S",6,6
"chr13:58985871-58990689_S",6,6
"chr13:59026077-59133615_S",6,6
"chr13:59681054-59684062_S",6,6
"chr13:67055248-67062690_S",6,6
"chr13:73468180-73475534_S",6,6
"chr13:81035607-81037207_S",6,6
"chr13:83671829-83673154_S",6,6
"chr13:83882826-84020774_S",6,6
"chr13:84020881-84032257_S",6,6
"chr13:92660847-92667206_S",6,6
"chr13:98452807-98453373_S",6,6
"chr13:114453566-114524494_S",6,6
"chr14:11344227-11478176_S",6,6
"chr14:20726226-20729595_S",6,6
"chr14:20753266-20753343_S",6,6
"chr14:25503184-25503951_S",6,6
"chr14:30811580-30827303_S",6,6
"chr14:31500963-31552283_S",6,6
"chr14:51167782-51168090_S",6,6
"chr14:54889316-54899624_S",6,6
"chr14:55750219-55750628_S",6,6
"chr14:55825970-55826757_S",6,6
"chr14:70842489-70842736_S",6,6
"chr14:73832914-73833112_S",6,6
"chr14:76083834-76084683_S",6,6
"chr14:86508467-86509079_S",6,6
"chr14:102149597-102150675_S",6,6
"chr14:120634017-120640747_S",6,6
"chr14:122231883-122246202_S",6,6
"chr15:4172355-4183209_S",6,6
"chr15:5215054-5219062_S",6,6
"chr15:5219285-5237849_S",6,6
"chr15:8199879-8201176_S",6,6
"chr15:17477820-17485850_S",6,6
"chr15:31598207-31601746_S",6,6
"chr15:34432898-34433235_S",6,6
"chr15:35099695-35114674_S",6,6
"chr15:53723679-53765764_S",6,6
"chr15:57626116-57684427_S",6,6
"chr15:58800599-58805527_S",6,6
"chr15:59327316-59409375_S",6,6
"chr15:63894470-63932043_S",6,6
"chr15:76115579-76116727_S",6,6
"chr15:76622010-76625712_S",6,6
"chr15:76649852-76702191_S",6,6
"chr15:80888072-80888259_S",6,6
"chr15:80888072-80890607_S",6,6
"chr15:82118711-82123493_S",6,6
"chr15:83639919-83640595_S",6,6
"chr15:85561521-85562940_S",6,6
"chr15:89192049-89192224_S",6,6
"chr15:90110058-90111526_S",6,6
"chr15:92059543-92114196_S",6,6
"chr15:98624436-98624780_S",6,6
"chr15:98723615-98729310_S",6,6
"chr15:99114237-99123394_S",6,6
"chr15:101158721-101160969_S",6,6
"chr15:101169747-101170033_S",6,6
"chr15:102367691-102367898_S",6,6
"chr15:103151146-103151348_S",6,6
"chr16:4429734-4429865_S",6,6
"chr16:6305731-6627070_S",6,6
"chr16:7225904-7227632_S",6,6
"chr16:11021612-11025355_S",6,6
"chr16:11815045-11847891_S",6,6
"chr16:32715568-32718743_S",6,6
"chr16:36711855-36713677_S",6,6
"chr16:43799540-43800271_S",6,6
"chr16:50249345-50252473_S",6,6
"chr16:77352856-77391509_S",6,6
"chr16:77393848-77488122_S",6,6
"chr16:84628396-84631829_S",6,6
"chr16:91444873-91448523_S",6,6
"chr16:91468354-91472288_S",6,6
"chr16:94184926-94185642_S",6,6
"chr17:6094526-6095919_S",6,6
"chr17:21725370-21728248_S",6,6
"chr17:24040665-24041386_S",6,6
"chr17:24046548-24047720_S",6,6
"chr17:24383187-24383706_S",6,6
"chr17:24640826-24641123_S",6,6
"chr17:25076599-25079919_S",6,6
"chr17:25126361-25127384_S",6,6
"chr17:25488454-25492294_S",6,6
"chr17:26028361-26035390_S",6,6
"chr17:26184502-26204444_S",6,6
"chr17:26934749-26976778_S",6,6
"chr17:27157442-27157554_S",6,6
"chr17:27184013-27185856_S",6,6
"chr17:27226351-27227041_S",6,6
"chr17:28539831-28545125_S",6,6
"chr17:29561882-29566440_S",6,6
"chr17:32472175-32503491_S",6,6
"chr17:33911128-33915010_S",6,6
"chr17:34245445-34245824_S",6,6
"chr17:37375630-37378105_S",6,6
"chr17:43975157-43977790_S",6,6
"chr17:45352274-45430029_S",6,6
"chr17:45876006-45876125_S",6,6
"chr17:46567210-46567573_S",6,6
"chr17:47905909-47997798_S",6,6
"chr17:47998214-47998764_S",6,6
"chr17:56212981-56239112_S",6,6
"chr17:64171051-64214275_S",6,6
"chr17:66356929-66357620_S",6,6
"chr17:66360087-66383756_S",6,6
"chr17:71897518-71905144_S",6,6
"chr17:83776913-83811528_S",6,6
"chr18:3273579-3280948_S",6,6
"chr18:9970329-9975598_S",6,6
"chr18:10595876-10596338_S",6,6
"chr18:23883617-23885301_S",6,6
"chr18:25315207-25336917_S",6,6
"chr18:29663068-29671935_S",6,6
"chr18:32978699-32979882_S",6,6
"chr18:34482857-34505457_S",6,6
"chr18:38593704-38597313_S",6,6
"chr18:39620299-39621992_S",6,6
"chr18:40375981-40378314_S",6,6
"chr18:40378434-40390588_S",6,6
"chr18:40392246-40663704_S",6,6
"chr18:44801958-44805289_S",6,6
"chr18:60659438-60667664_S",6,6
"chr18:62791922-62792942_S",6,6
"chr18:67917132-67917956_S",6,6
"chr18:68239763-68368725_S",6,6
"chr18:68849915-68868168_S",6,6
"chr18:69697756-69703033_S",6,6
"chr18:86479209-86479324_S",6,6
"chr18:88776635-88778769_S",6,6
"chr18:88889043-88905115_S",6,6
"chr18:90607459-90608954_S",6,6
"chr19:5852100-5852390_S",6,6
"chr19:6920415-6928007_S",6,6
"chr19:10509364-10510183_S",6,6
"chr19:10875258-10876346_S",6,6
"chr19:27960347-27987085_S",6,6
"chr19:30008332-30016463_S",6,6
"chr19:32267032-32329344_S",6,6
"chr19:32753500-32769948_S",6,6
"chr19:36922736-36926467_S",6,6
"chr19:40341010-40351645_S",6,6
"chr19:40362062-40370964_S",6,6
"chr19:46067698-46068349_S",6,6
"chr19:46302773-46302901_S",6,6
"chr19:57720078-57720249_S",6,6
"chrX:36347742-36348289_S",6,6
"chrX:40491837-40567436_S",6,6
"chrX:43877171-43877267_S",6,6
"chrX:47005432-47009037_S",6,6
"chrX:52708167-52715289_S",6,6
"chrX:67748987-67751647_S",6,6
"chrX:70484218-70484679_S",6,6
"chrX:70600107-70601658_S",6,6
"chrX:72833727-72833934_S",6,6
"chrX:72833727-72834259_S",6,6
"chrX:73347193-73347402_S",6,6
"chrX:84234309-84241109_S",6,6
"chrX:93296733-93297545_S",6,6
"chrX:102540137-102550406_S",6,6
"chrX:102540137-102568472_S",6,6
"chrX:102568603-102573250_S",6,6
"chrX:102653023-102656628_S",6,6
"chrX:104943600-104972705_S",6,6
"chrX:128650866-128702143_S",6,6
"chrX:132588586-132602278_S",6,6
"chrX:134749489-134775080_S",6,6
"chrX:135635251-135636294_S",6,6
"chrX:144298076-144536145_S",6,6
"chrX:155126163-155128621_S",6,6
"chrX:156253105-156269214_S",6,6
"chrX:156259945-156274287_S",6,6
"chrX:156374552-156376720_S",6,6
"chrX:158242480-158245109_S",6,6
"chrY:90748579-90749569_S",6,6
"chr1:5153849-5154639_E",6,6
"chr1:8746540-8748030_E",6,6
"chr1:10012610-10012834_E",6,6
"chr1:11582290-11588801_E",6,6
"chr1:18014824-18105033_E",6,6
"chr1:24107060-24124491_E",6,6
"chr1:24125693-24139141_E",6,6
"chr1:30860393-30863290_E",6,6
"chr1:30863601-30902067_E",6,6
"chr1:36739679-36740214_E",6,6
"chr1:36741682-36745950_E",6,6
"chr1:36746027-36747271_E",6,6
"chr1:44197420-44197964_E",6,6
"chr1:44200198-44200969_E",6,6
"chr1:53354259-53359101_E",6,6
"chr1:53365617-53369370_E",6,6
"chr1:59746224-59750429_E",6,6
"chr1:64081597-64160058_E",6,6
"chr1:75121998-75122323_E",6,6
"chr1:78585581-78606343_E",6,6
"chr1:78585581-78887745_E",6,6
"chr1:78585583-78724981_E",6,6
"chr1:78585583-78887745_E",6,6
"chr1:78585585-78689164_E",6,6
"chr1:78585585-78772459_E",6,6
"chr1:78585585-78887745_E",6,6
"chr1:78585587-78689152_E",6,6
"chr1:89591511-89592755_E",6,6
"chr1:90310413-90323993_E",6,6
"chr1:109910782-109921715_E",6,6
"chr1:121234693-121247325_E",6,6
"chr1:121318908-121336515_E",6,6
"chr1:127681686-127701664_E",6,6
"chr1:131951220-131956190_E",6,6
"chr1:135236937-135237508_E",6,6
"chr1:136617935-136618274_E",6,6
"chr1:146302829-146307000_E",6,6
"chr1:150257346-150258018_E",6,6
"chr1:150260287-150262108_E",6,6
"chr1:153354725-153356877_E",6,6
"chr1:156715601-156728155_E",6,6
"chr1:156729458-156735208_E",6,6
"chr1:156912484-156942983_E",6,6
"chr1:160864423-160865794_E",6,6
"chr1:165185116-165216226_E",6,6
"chr1:185694233-185846460_E",6,6
"chr2:5799687-5800359_E",6,6
"chr2:5850197-5859626_E",6,6
"chr2:6933008-6967189_E",6,6
"chr2:10090636-10095051_E",6,6
"chr2:25349714-25350020_E",6,6
"chr2:26481076-26482429_E",6,6
"chr2:26481076-26508740_E",6,6
"chr2:27343463-27344324_E",6,6
"chr2:30329777-30333301_E",6,6
"chr2:31040956-31041162_E",6,6
"chr2:32199077-32200462_E",6,6
"chr2:52367824-52448280_E",6,6
"chr2:53067446-53079980_E",6,6
"chr2:58908618-58990690_E",6,6
"chr2:62667625-62676097_E",6,6
"chr2:63016594-63022571_E",6,6
"chr2:64852588-64855032_E",6,6
"chr2:65676229-65708308_E",6,6
"chr2:70492105-70506808_E",6,6
"chr2:70886464-70886838_E",6,6
"chr2:72818189-72818711_E",6,6
"chr2:73391638-73395543_E",6,6
"chr2:73448015-73448264_E",6,6
"chr2:73676720-73680932_E",6,6
"chr2:73710726-73722818_E",6,6
"chr2:75135898-75141360_E",6,6
"chr2:83475605-83483701_E",6,6
"chr2:90744520-90747772_E",6,6
"chr2:104088854-104240273_E",6,6
"chr2:104525010-104527854_E",6,6
"chr2:106524167-106613977_E",6,6
"chr2:115897822-115898664_E",6,6
"chr2:118494795-118495263_E",6,6
"chr2:119703365-119733086_E",6,6
"chr2:125994135-125996465_E",6,6
"chr2:130122660-130122875_E",6,6
"chr2:132414178-132419987_E",6,6
"chr2:152068953-152092321_E",6,6
"chr2:152854376-152855929_E",6,6
"chr2:154059155-154060123_E",6,6
"chr2:154234168-154245641_E",6,6
"chr2:155078861-155084650_E",6,6
"chr2:156453148-156454386_E",6,6
"chr2:160881264-160883904_E",6,6
"chr2:165124854-165125168_E",6,6
"chr2:165152195-165153542_E",6,6
"chr2:166797051-166801942_E",6,6
"chr2:166903714-166905555_E",6,6
"chr2:174779439-174816149_E",6,6
"chr2:180948445-180955993_E",6,6
"chr2:181143847-181149958_E",6,6
"chr3:5253571-5256056_E",6,6
"chr3:14644084-14652369_E",6,6
"chr3:33857755-33858148_E",6,6
"chr3:34134307-34135334_E",6,6
"chr3:40916664-40918402_E",6,6
"chr3:51174288-51207203_E",6,6
"chr3:57643622-57671677_E",6,6
"chr3:62375729-62376250_E",6,6
"chr3:63883732-63887556_E",6,6
"chr3:65856212-65857633_E",6,6
"chr3:82265563-82266281_E",6,6
"chr3:86431424-86579294_E",6,6
"chr3:86723738-86731942_E",6,6
"chr3:88838328-88840871_E",6,6
"chr3:88858296-88873118_E",6,6
"chr3:89909784-89910551_E",6,6
"chr3:90256794-90257693_E",6,6
"chr3:95004691-95013686_E",6,6
"chr3:96800921-96804648_E",6,6
"chr3:105888666-105891888_E",6,6
"chr3:108365816-108367000_E",6,6
"chr3:115804346-115817655_E",6,6
"chr3:119554381-119555351_E",6,6
"chr3:123058555-123059408_E",6,6
"chr3:127132842-127292316_E",6,6
"chr3:135141246-135144181_E",6,6
"chr3:151959441-151960921_E",6,6
"chr3:154303165-154310528_E",6,6
"chr3:156261063-156267112_E",6,6
"chr4:3578915-3583424_E",6,6
"chr4:3941317-3942720_E",6,6
"chr4:11248312-11252775_E",6,6
"chr4:19588686-19595069_E",6,6
"chr4:34772054-34778278_E",6,6
"chr4:40723254-40723702_E",6,6
"chr4:41245493-41251534_E",6,6
"chr4:41298352-41299406_E",6,6
"chr4:41773351-41773464_E",6,6
"chr4:42173378-42181787_E",6,6
"chr4:42917415-42922566_E",6,6
"chr4:42922694-42933615_E",6,6
"chr4:43029638-43029769_E",6,6
"chr4:43733458-43749957_E",6,6
"chr4:44030269-44032400_E",6,6
"chr4:46451350-46460089_E",6,6
"chr4:62123343-62126565_E",6,6
"chr4:82215049-82238710_E",6,6
"chr4:83177704-83179118_E",6,6
"chr4:87094585-87145119_E",6,6
"chr4:94520974-94524010_E",6,6
"chr4:99082690-99100813_E",6,6
"chr4:107119777-107130809_E",6,6
"chr4:107198300-107216803_E",6,6
"chr4:107753946-107754067_E",6,6
"chr4:108687781-108690704_E",6,6
"chr4:108871038-108875035_E",6,6
"chr4:115911546-115914002_E",6,6
"chr4:119157381-119168089_E",6,6
"chr4:119307598-119310768_E",6,6
"chr4:119397043-119417799_E",6,6
"chr4:119890163-119922063_E",6,6
"chr4:120313707-120319209_E",6,6
"chr4:126132426-126133815_E",6,6
"chr4:126645875-126647117_E",6,6
"chr4:126926599-126929600_E",6,6
"chr4:129489207-129490666_E",6,6
"chr4:129495037-129495987_E",6,6
"chr4:129738986-129741506_E",6,6
"chr4:132998359-133004841_E",6,6
"chr4:133409367-133411745_E",6,6
"chr4:134006853-134011556_E",6,6
"chr4:135073757-135074045_E",6,6
"chr4:136197162-136248651_E",6,6
"chr4:136304516-136320275_E",6,6
"chr4:138629286-138636792_E",6,6
"chr4:138831318-138832300_E",6,6
"chr4:139755553-139756008_E",6,6
"chr4:141458000-141471098_E",6,6
"chr4:152413772-152414460_E",6,6
"chr4:155171345-155171877_E",6,6
"chr4:155576038-155611869_E",6,6
"chr4:156028608-156030711_E",6,6
"chr5:8454917-8455801_E",6,6
"chr5:8647218-8653869_E",6,6
"chr5:30499096-30500011_E",6,6
"chr5:31116757-31117314_E",6,6
"chr5:34493886-34499865_E",6,6
"chr5:38382142-38385198_E",6,6
"chr5:64865849-64874416_E",6,6
"chr5:64871599-64874416_E",6,6
"chr5:65625845-65650078_E",6,6
"chr5:66421411-66421833_E",6,6
"chr5:67118611-67126418_E",6,6
"chr5:74745734-74747663_E",6,6
"chr5:81169193-81215537_E",6,6
"chr5:90426251-90430709_E",6,6
"chr5:98885571-98949673_E",6,6
"chr5:100184511-100184720_E",6,6
"chr5:104138138-104220188_E",6,6
"chr5:104138153-104220186_E",6,6
"chr5:107524229-107525769_E",6,6
"chr5:108717823-108718005_E",6,6
"chr5:108764918-108771125_E",6,6
"chr5:110408304-110413377_E",6,6
"chr5:111730163-111730286_E",6,6
"chr5:113223938-113227625_E",6,6
"chr5:116394065-116396516_E",6,6
"chr5:116395870-116396516_E",6,6
"chr5:121147163-121147896_E",6,6
"chr5:121342719-121343468_E",6,6
"chr5:121951617-121952400_E",6,6
"chr5:122897064-122901836_E",6,6
"chr5:122926528-122929670_E",6,6
"chr5:123847549-123852128_E",6,6
"chr5:125179764-125183262_E",6,6
"chr5:129792828-129793790_E",6,6
"chr5:130028911-130029597_E",6,6
"chr5:136957135-136962315_E",6,6
"chr5:137786208-137793752_E",6,6
"chr5:142750653-142750805_E",6,6
"chr5:145073800-145076776_E",6,6
"chr5:146892626-146893596_E",6,6
"chr5:149350512-149350685_E",6,6
"chr5:149475954-149486680_E",6,6
"chr6:4082583-4086776_E",6,6
"chr6:4677198-4678066_E",6,6
"chr6:22322348-22328553_E",6,6
"chr6:30870543-30871781_E",6,6
"chr6:37126593-37276497_E",6,6
"chr6:39376245-39376731_E",6,6
"chr6:42993247-43043647_E",6,6
"chr6:51131468-51131680_E",6,6
"chr6:72870016-72934555_E",6,6
"chr6:83458445-83463965_E",6,6
"chr6:83748532-83749223_E",6,6
"chr6:85927076-85929286_E",6,6
"chr6:86348976-86352658_E",6,6
"chr6:86826439-86826813_E",6,6
"chr6:92435640-92511596_E",6,6
"chr6:96092736-96170161_E",6,6
"chr6:99497694-99499508_E",6,6
"chr6:101314864-101331354_E",6,6
"chr6:118923316-119029561_E",6,6
"chr6:127701022-127703487_E",6,6
"chr6:128173797-128176569_E",6,6
"chr6:133084946-133087755_E",6,6
"chr6:136150102-136150865_E",6,6
"chr6:142308079-142308531_E",6,6
"chr6:142447184-142451137_E",6,6
"chr6:147969372-148028355_E",6,6
"chr6:148084707-148089530_E",6,6
"chr6:148085673-148089530_E",6,6
"chr7:4788538-4792003_E",6,6
"chr7:15913026-15915965_E",6,6
"chr7:16010036-16010126_E",6,6
"chr7:18815227-18816200_E",6,6
"chr7:19249223-19249886_E",6,6
"chr7:27364524-27367773_E",6,6
"chr7:28330200-28380626_E",6,6
"chr7:28701829-28702521_E",6,6
"chr7:29889983-29890083_E",6,6
"chr7:30008260-30008905_E",6,6
"chr7:39124197-39126734_E",6,6
"chr7:44241183-44244584_E",6,6
"chr7:44819360-44819633_E",6,6
"chr7:45030243-45033227_E",6,6
"chr7:45044597-45044932_E",6,6
"chr7:45111391-45114612_E",6,6
"chr7:46762546-46782025_E",6,6
"chr7:51512193-51514029_E",6,6
"chr7:55668866-55700603_E",6,6
"chr7:56973464-57031336_E",6,6
"chr7:61185235-61254263_E",6,6
"chr7:61185237-61264839_E",6,6
"chr7:61631517-61631743_E",6,6
"chr7:65719947-65720337_E",6,6
"chr7:73233276-73239370_E",6,6
"chr7:78433429-78438422_E",6,6
"chr7:87235927-87238297_E",6,6
"chr7:89846229-89856790_E",6,6
"chr7:98357239-98359332_E",6,6
"chr7:105290935-105292517_E",6,6
"chr7:112951146-112964111_E",6,6
"chr7:126271053-126271209_E",6,6
"chr7:126272071-126277174_E",6,6
"chr7:128050495-128056659_E",6,6
"chr7:138448813-138470138_E",6,6
"chr7:139420734-139425500_E",6,6
"chr7:140908180-140912822_E",6,6
"chr7:142591119-142598231_E",6,6
"chr8:3671696-3672341_E",6,6
"chr8:10028020-10037384_E",6,6
"chr8:16760719-17077240_E",6,6
"chr8:17077354-17266622_E",6,6
"chr8:19741657-19743566_E",6,6
"chr8:23121536-23127083_E",6,6
"chr8:24287448-24392030_E",6,6
"chr8:26139720-26149756_E",6,6
"chr8:39530463-39534775_E",6,6
